Distancia,RSS,Throughput
15,-65,49.0045
17.5,-65,49.9712
20,-65,49.9876
22.5,-65,50.004
25,-65,50.004
27.5,-65,50.004
30,-65,50.004
32.5,-65,49.9876
35,-65,50.004
37.5,-65,49.9712
40,-65,50.0531
42.5,-65,49.9712
45,-65,50.0204
47.5,-65,49.9712
50,-65,50.0204
52.5,-65,50.004
55,-65,49.9876
57.5,-65,49.9876
60,-65,50.004
62.5,-65,50.0531
65,-65,49.922
67.5,-65,50.0367
70,-65,50.004
72.5,-65,49.9876
75,-65,50.0204
77.5,-65,50.004
80,-65,49.9876
82.5,-65,49.9876
85,-65,50.004
87.5,-65,50.004
90,-65,50.004
92.5,-65,50.004
95,-65,50.004
97.5,-65,49.9712
100,-65,50.0204
102.5,-65,49.9712
105,-65,50.0204
107.5,-65,50.004
110,-65,50.004
112.5,-65,49.9712
115,-65,50.0204
117.5,-65,50.004
120,-65,50.0204
122.5,-65,49.9384
125,-65,50.0531
127.5,-65,49.9548
130,-65,50.0367
132.5,-65,49.9876
135,-65,50.004
137.5,-65,50.004
140,-65,49.9876
142.5,-65,50.004
145,-65,50.0204
147.5,-65,49.9712
150,-65,50.0204
152.5,-65,50.004
155,-65,50.004
157.5,-65,50.004
160,-65,49.9712
162.5,-65,49.9712
165,-65,50.0531
167.5,-65,49.9712
170,-65,50.0367
172.5,-65,49.9548
175,-65,50.0367
177.5,-65,49.9712
180,-65,50.0204
182.5,-65,49.9876
185,-65,50.004
187.5,-65,49.9876
190,-65,50.0204
192.5,-65,49.9876
195,-65,50.0204
197.5,-65,50.004
200,-65,50.004
202.5,-65,50.004
205,-65,49.9876
207.5,-65,49.9876
210,-65,49.9876
212.5,-65,50.004
215,-65,50.0204
217.5,-65,49.9876
220,-65,50.0204
222.5,-65,50.004
225,-65,50.0204
227.5,-65,49.922
230,-65,50.0531
232.5,-65,49.9876
235,-65,49.9712
237.5,-65,50.0531
240,-65,49.9712
242.5,-65,49.9548
245,-65,50.0531
247.5,-65,50.004
250,-65,49.9876
252.5,-65,50.0204
255,-65,49.9548
257.5,-65,50.004
260,-65,50.004
262.5,-65,50.004
265,-65,50.004
267.5,-65,50.0367
270,-65,49.9712
272.5,-65,49.9712
275,-65,50.0204
277.5,-65,49.9712
280,-65,50.0367
282.5,-65,50.0204
285,-65,49.9712
287.5,-65,50.004
290,-65,49.9712
292.5,-65,50.0367
295,-65,49.9876
297.5,-65,50.004
300,-65,50.004
302.5,-65,49.9712
305,-65,50.0531
307.5,-65,49.9876
310,-65,50.0204
312.5,-65,50.004
315,-65,49.9548
317.5,-65,50.004
320,-65,50.004
322.5,-65,49.9712
325,-65,50.0531
327.5,-65,49.9712
330,-65,50.0204
332.5,-65,50.0204
335,-65,49.9712
337.5,-65,50.004
340,-65,49.9876
342.5,-65,50.004
345,-65,49.9876
347.5,-65,50.0367
350,-65,49.9712
352.5,-65,49.9876
355,-65,50.0204
357.5,-65,50.004
360,-65,49.9712
362.5,-65,50.0204
365,-65,50.0204
367.5,-65,49.9876
370,-65,49.9876
372.5,-65,49.9876
375,-65,50.0204
377.5,-65,50.0204
380,-65,49.9548
382.5,-65,50.0204
385,-65,50.004
387.5,-65,50.0204
390,-65,49.9712
392.5,-65,50.0204
395,-65,49.9548
397.5,-65,50.0367
400,-65,49.9876
402.5,-65,49.9876
405,-65,50.0204
407.5,-65,49.9712
410,-65,50.0367
412.5,-65,49.9712
415,-65,50.0204
417.5,-65,50.0204
420,-65,49.9876
422.5,-65,50.004
425,-65,49.9712
427.5,-65,50.0367
430,-65,49.9548
432.5,-65,50.0204
435,-65,49.9876
437.5,-65,50.004
440,-65,50.004
442.5,-65,50.004
445,-65,50.004
447.5,-65,49.9876
450,-65,50.0204
452.5,-65,50.004
455,-65,49.9548
457.5,-65,50.0531
460,-65,49.9712
462.5,-65,49.9876
465,-65,50.0204
467.5,-65,49.9876
470,-65,50.004
472.5,-65,50.004
475,-65,50.004
477.5,-65,50.0204
480,-65,49.9876
482.5,-65,50.004
485,-65,49.9548
487.5,-65,50.0367
490,-65,49.9876
492.5,-65,50.004
495,-65,50.004
497.5,-65,50.004
500,-65,49.9712
502.5,-65,50.0204
505,-65,50.004
507.5,-65,50.004
