Distancia,RSS,Throughput
15,-53.4312,48.8571
17.5,-54.8669,50.0204
20,-56.1118,49.9876
22.5,-57.2009,49.9876
25,-58.1687,50.0204
27.5,-59.0404,50.004
30,-59.8315,50.004
32.5,-60.5558,49.9712
35,-61.2252,50.004
37.5,-61.8467,50.0204
40,-62.426,49.9712
42.5,-62.9694,50.0367
45,-63.4806,49.9876
47.5,-63.9634,50.004
50,-64.4211,50.004
52.5,-64.8551,50.004
55,-65.2681,49.9548
57.5,-65.6637,50.0367
60,-66.0423,50.0204
62.5,-66.404,49.9712
65,-66.751,50.004
67.5,-67.0854,50.004
70,-67.4074,49.9876
72.5,-67.7175,50.004
75,-68.0173,50.004
77.5,-68.3071,49.9876
80,-68.587,50.004
82.5,-68.8586,50.004
85,-69.1222,50.004
87.5,-69.3777,49.9712
90,-69.6258,50.0367
92.5,-69.867,49.9876
95,-70.1018,49.9712
97.5,-70.3304,50.0367
100,-70.553,49.9876
102.5,-70.7703,50.0204
105,-70.9822,49.9712
107.5,-71.189,50.0204
110,-71.391,50.004
112.5,-71.5884,49.9712
115,-71.7815,49.9548
117.5,-71.9704,50.0695
120,-72.1553,49.9876
122.5,-72.3361,50.004
125,-72.5132,50.004
127.5,-72.6871,50.0204
130,-72.8575,50.004
132.5,-73.0247,49.9876
135,-73.1884,49.791
137.5,-73.3491,50.0367
140,-73.507,49.9384
142.5,-73.6617,50.0204
145,-73.8142,50.0204
147.5,-73.9641,49.9548
150,-74.1114,49.9712
152.5,-74.2562,50.1023
155,-74.3984,49.8729
157.5,-74.5387,50.0695
160,-74.6764,49.8237
162.5,-74.8108,48.939
165,-74.9459,46.0227
167.5,-75.0772,45.8916
170,-75.2068,45.8097
172.5,-75.335,45.8916
175,-75.4604,46.0063
177.5,-75.5843,45.8424
180,-75.7065,45.7114
182.5,-75.8273,45.5803
185,-75.9467,45.695
187.5,-76.0625,43.4995
190,-76.1798,34.5047
192.5,-76.2939,34.4719
195,-76.4066,34.4064
197.5,-76.518,34.4064
200,-76.628,34.4064
202.5,-76.7366,34.3572
205,-76.8439,34.4228
207.5,-76.9498,34.4392
210,-77.0544,34.4064
212.5,-77.1578,34.5211
215,-77.2602,34.5211
217.5,-77.3615,34.4719
220,-77.4613,34.3245
222.5,-77.5601,34.4228
225,-77.6578,34.3736
227.5,-77.7542,34.4719
230,-77.8499,34.5702
232.5,-77.9443,34.2753
235,-78.0372,34.5047
237.5,-78.1295,34.4064
240,-78.2214,34.4392
242.5,-78.3119,34.4556
245,-78.4013,34.4883
247.5,-78.4901,34.5047
250,-78.5776,34.5211
252.5,-78.6643,34.4064
255,-78.7506,34.4392
257.5,-78.8358,34.4392
260,-78.92,34.4228
262.5,-79.0035,34.4228
265,-79.0861,34.4392
267.5,-79.1681,34.4392
270,-79.249,34.5047
272.5,-79.3297,34.4719
275,-79.4098,34.4228
277.5,-79.4885,34.5047
280,-79.5666,34.4228
282.5,-79.6441,34.1934
285,-79.721,34.5702
287.5,-79.7975,34.3409
290,-79.8731,34.1443
292.5,-79.9479,34.5047
295,-80.0221,34.4228
297.5,-80.0957,34.3081
300,-80.169,34.4064
302.5,-80.2412,34.1606
305,-80.313,34.0951
307.5,-80.384,34.2753
310,-80.4545,34.0787
312.5,-80.5226,24.8218
315,-80.5942,23.0031
317.5,-80.6629,22.9376
320,-80.7316,23.0195
322.5,-80.7994,22.9048
325,-80.8669,22.9212
327.5,-80.9339,23.0523
330,-81.0001,22.954
332.5,-81.0659,22.9212
335,-81.1311,22.9704
337.5,-81.1959,22.9212
340,-81.2604,22.8884
342.5,-81.3243,22.9704
345,-81.3878,22.8393
347.5,-81.4505,22.9376
350,-81.5129,22.954
352.5,-81.575,22.954
355,-81.6366,22.9212
357.5,-81.6979,23.0195
360,-81.7586,22.9376
362.5,-81.8189,22.954
365,-81.879,23.0523
367.5,-81.9383,23.0031
370,-81.9838,12.3863
372.5,-100,0
375,-100,0
377.5,-100,0
380,-100,0
382.5,-100,0
385,-100,0
387.5,-100,0
390,-100,0
392.5,-100,0
395,-100,0
397.5,-100,0
400,-100,0
402.5,-100,0
405,-100,0
407.5,-100,0
410,-100,0
412.5,-100,0
415,-100,0
417.5,-100,0
420,-100,0
422.5,-100,0
425,-100,0
427.5,-100,0
430,-100,0
432.5,-100,0
435,-100,0
437.5,-100,0
440,-100,0
442.5,-100,0
445,-100,0
447.5,-100,0
450,-100,0
452.5,-100,0
455,-100,0
457.5,-100,0
460,-100,0
462.5,-100,0
465,-100,0
467.5,-100,0
470,-100,0
472.5,-100,0
475,-100,0
477.5,-100,0
480,-100,0
482.5,-100,0
485,-100,0
487.5,-100,0
490,-100,0
492.5,-100,0
495,-100,0
497.5,-100,0
500,-100,0
502.5,-100,0
505,-100,0
507.5,-100,0
