Distancia,RSS,Throughput
15,14.5024,49.1848
17.5,14.4807,49.9876
20,14.4309,49.9876
22.5,14.4076,50.0204
25,14.2502,49.9876
27.5,14.717,49.9712
30,14.4001,50.0204
32.5,14.9913,50.0204
35,14.119,49.9712
37.5,14.2803,50.0204
40,14.4722,49.9712
42.5,14.6828,50.0531
45,14.3079,49.9876
47.5,14.7474,49.9876
50,14.4604,49.9876
52.5,14.6644,50.004
55,14.4412,50.0204
57.5,14.5342,49.9548
60,14.1893,50.0204
62.5,14.0086,50.004
65,14.2616,50.004
67.5,14.7332,49.9876
70,14.1546,50.004
72.5,14.5274,50.0367
75,14.1573,49.9712
77.5,14.5164,49.9712
80,14.2991,50.004
82.5,12.8626,50.0367
85,13.1909,49.9876
87.5,12.8199,50.004
90,12.2817,50.004
92.5,12.58,50.004
95,12.6305,49.9712
97.5,12.6049,49.9712
100,12.268,50.0367
102.5,12.5153,50.004
105,11.9086,50.004
107.5,12.9693,49.9712
110,12.6674,50.0367
112.5,12.5019,49.9876
115,11.7746,50.004
117.5,12.893,50.004
120,12.504,49.9712
122.5,12.7269,50.0204
125,11.4137,50.004
127.5,12.8017,50.004
130,12.2574,49.9876
132.5,12.498,50.004
135,12.1417,50.0204
137.5,12.7169,49.9712
140,12.8396,50.0204
142.5,12.9569,49.9876
145,12.157,50.0204
147.5,13.1246,49.9712
150,12.9743,50.0204
152.5,12.3888,50.004
155,12.3697,49.9548
157.5,12.6265,50.0367
160,11.8823,50.004
162.5,12.9245,49.9548
165,12.9875,50.0367
167.5,12.6009,50.0204
170,11.9118,49.9548
172.5,13.3693,50.0367
175,12.5606,49.9712
177.5,13.1032,50.0204
180,13.0717,50.004
182.5,12.4163,49.9548
185,12.5093,50.0695
187.5,12.8285,49.9712
190,12.6979,50.0204
192.5,12.964,49.9876
195,12.3266,49.9712
197.5,12.8528,50.004
200,12.4533,49.9712
202.5,11.8514,50.0367
205,12.7315,50.004
207.5,12.6782,50.0204
210,12.942,49.9876
212.5,12.4029,49.9876
215,12.8122,50.004
217.5,12.709,50.004
220,12.4859,50.004
222.5,12.2654,50.004
225,12.3699,50.0204
227.5,13.0272,49.9712
230,12.1338,49.9876
232.5,12.5989,50.0367
235,12.6115,49.9712
237.5,12.1916,50.0531
240,12.7476,49.9548
242.5,12.2656,49.9712
245,12.6398,50.0204
247.5,12.8641,49.9876
250,12.8336,50.0367
252.5,12.4635,49.9712
255,12.5958,49.9876
257.5,12.0051,50.0367
260,12.1742,50.004
262.5,12.6722,49.9712
265,12.6881,50.004
267.5,13.0029,50.004
270,12.2849,50.004
272.5,12.5809,50.004
275,12.1658,50.004
277.5,12.9262,50.004
280,12.4827,49.9876
282.5,12.857,50.0204
285,12.7183,49.9712
287.5,12.0553,50.0204
290,12.7516,50.004
292.5,12.3003,49.9548
295,12.4789,50.0367
297.5,12.845,49.9876
300,12.0407,50.0204
302.5,12.6028,49.9712
305,12.5038,49.9876
307.5,11.6965,50.0204
310,13.5705,49.9876
312.5,12.9459,50.0204
315,12.4768,50.0204
317.5,12.9187,49.9876
320,12.5744,49.9876
322.5,12.2997,50.004
325,13.2244,50.004
327.5,12.6627,50.004
330,12.5584,49.9712
332.5,12.3383,50.004
335,12.6106,50.0367
337.5,12.2837,49.9712
340,12.4264,50.0204
342.5,12.3023,50.004
345,12.3262,49.9876
347.5,12.7858,49.9548
350,13.4104,50.0695
352.5,12.5181,50.004
355,11.9378,49.9548
357.5,12.6,50.004
360,12.901,50.0204
362.5,12.5987,50.004
365,12.706,49.9876
367.5,12.0419,50.0204
370,12.617,50.004
372.5,12.4317,49.9876
375,12.3154,49.9876
377.5,12.3428,50.0204
380,12.4731,49.9876
382.5,12.8867,49.9876
385,12.9104,49.9876
387.5,12.7901,50.0204
390,11.4532,50.0204
392.5,12.4766,49.9712
395,12.7297,49.9876
397.5,12.8075,49.9876
400,12.5605,50.0204
402.5,12.6916,50.0367
405,12.6818,49.922
407.5,12.4865,50.0531
410,13.3966,49.9876
412.5,12.8856,50.0204
415,13.3081,50.004
417.5,12.2492,49.9548
420,13.0104,50.0204
422.5,12.804,50.0204
425,12.5108,49.9876
427.5,12.3013,50.004
430,13.2164,49.9876
432.5,13.7624,50.004
435,12.1891,50.0367
437.5,12.3826,49.9876
440,13.4317,49.9876
442.5,11.4105,49.9548
445,12.3725,50.0367
447.5,13.2171,50.004
450,12.4397,50.004
452.5,12.0456,49.9876
455,12.5667,49.9876
457.5,12.4948,50.0367
460,12.0758,49.9712
462.5,12.5796,50.0367
465,12.7828,49.9876
467.5,12.5735,50.004
470,11.6141,49.9876
472.5,13.2801,49.9384
475,13.1736,50.0204
477.5,12.595,50.0367
480,12.2722,50.0204
482.5,13.2877,49.9712
485,12.6008,49.9712
487.5,12.8761,50.0367
490,13.0856,49.9548
492.5,12.1531,50.0367
495,12.7845,50.004
497.5,12.1475,50.004
500,12.6568,50.004
502.5,12.7105,49.9876
505,12.3167,50.0204
507.5,12.6713,49.9712
