Distancia,RSS,Throughput
15,-52.2812,49.1848
17.5,-53.6505,50.0204
20,-54.8353,49.9712
22.5,-55.87,49.9712
25,-56.7881,49.9712
27.5,-57.6147,50.0204
30,-58.3665,50.0204
32.5,-59.0556,49.9876
35,-59.6907,50.0367
37.5,-60.2807,49.9712
40,-60.8318,50.0367
42.5,-61.3476,49.9712
45,-61.8335,50.0204
47.5,-62.2925,49.9712
50,-62.7264,50.004
52.5,-63.1389,49.9712
55,-63.5323,50.0367
57.5,-63.9077,50.0204
60,-64.2664,49.9548
62.5,-64.6102,50.0204
65,-64.9405,49.9876
67.5,-65.2583,50.0204
70,-65.564,50.0204
72.5,-65.8582,49.9548
75,-66.1428,50.0204
77.5,-66.4181,50.0204
80,-66.6846,49.9712
82.5,-66.9424,50.004
85,-67.1927,50.0204
87.5,-67.4356,49.9876
90,-67.6712,50.004
92.5,-67.9005,50.0204
95,-68.1236,49.9712
97.5,-68.3409,50.004
100,-68.5526,49.9876
102.5,-68.7588,50.004
105,-68.96,49.9876
107.5,-69.1565,50.0204
110,-69.3482,49.9876
112.5,-69.5358,50.004
115,-69.7193,50.0204
117.5,-69.8987,49.9876
120,-70.0741,49.9712
122.5,-70.2462,50.004
125,-70.4146,50.004
127.5,-70.5796,50.0367
130,-70.7417,49.9876
132.5,-70.9005,49.9876
135,-71.0562,50.004
137.5,-71.2089,50.004
140,-71.3589,50.004
142.5,-71.5062,49.9712
145,-71.651,50.004
147.5,-71.7934,50.0204
150,-71.9335,50.004
152.5,-72.0709,49.9876
155,-72.2061,50.0204
157.5,-72.3392,50.004
160,-72.4702,50.004
162.5,-72.5992,49.9712
165,-72.7263,50.0204
167.5,-72.8512,49.9712
170,-72.9743,50.0204
172.5,-73.0957,49.9712
175,-73.215,49.791
177.5,-73.3327,50.0531
180,-73.4489,49.9876
182.5,-73.5634,50.004
185,-73.6765,49.9876
187.5,-73.7882,50.004
190,-73.8981,49.9876
192.5,-74.0067,49.9712
195,-74.1138,50.0367
197.5,-74.2197,49.9548
200,-74.3241,50.0531
202.5,-74.4775,49.9876
205,-74.6817,49.9548
207.5,-74.8814,47.1368
210,-75.0813,45.8588
212.5,-75.2775,45.8097
215,-75.4716,45.9407
217.5,-75.6631,45.6622
220,-75.8536,45.7441
222.5,-76.0377,43.8108
225,-76.227,34.4392
227.5,-76.4099,34.4883
230,-76.5909,34.5047
232.5,-76.7702,34.3572
235,-76.9479,34.3736
237.5,-77.1235,34.4064
240,-77.2975,34.3736
242.5,-77.4695,34.3572
245,-77.639,34.3736
247.5,-77.8075,34.4228
250,-77.9748,34.5211
252.5,-78.1403,34.4883
255,-78.3035,34.4228
257.5,-78.4653,34.4064
260,-78.6254,34.4556
262.5,-78.7839,34.3736
265,-78.9418,34.5702
267.5,-79.0968,34.5211
270,-79.2508,34.4064
272.5,-79.4043,34.5211
275,-79.5554,34.4228
277.5,-79.7053,34.3081
280,-79.8539,34.3409
282.5,-80.0012,34.4392
285,-80.147,34.2262
287.5,-80.2922,34.2262
290,-80.4355,33.9968
292.5,-80.5787,23.0523
295,-80.7194,22.9212
297.5,-80.8587,22.8884
300,-80.9974,23.0031
302.5,-81.1355,22.954
305,-81.2717,22.9868
307.5,-81.4069,22.9376
310,-81.5413,23.0687
312.5,-81.674,22.9868
315,-81.8059,22.8884
317.5,-81.9365,22.4788
320,-100,0
322.5,-100,0
325,-100,0
327.5,-100,0
330,-100,0
332.5,-100,0
335,-100,0
337.5,-100,0
340,-100,0
342.5,-100,0
345,-100,0
347.5,-100,0
350,-100,0
352.5,-100,0
355,-100,0
357.5,-100,0
360,-100,0
362.5,-100,0
365,-100,0
367.5,-100,0
370,-100,0
372.5,-100,0
375,-100,0
377.5,-100,0
380,-100,0
382.5,-100,0
385,-100,0
387.5,-100,0
390,-100,0
392.5,-100,0
395,-100,0
397.5,-100,0
400,-100,0
402.5,-100,0
405,-100,0
407.5,-100,0
410,-100,0
412.5,-100,0
415,-100,0
417.5,-100,0
420,-100,0
422.5,-100,0
425,-100,0
427.5,-100,0
430,-100,0
432.5,-100,0
435,-100,0
437.5,-100,0
440,-100,0
442.5,-100,0
445,-100,0
447.5,-100,0
450,-100,0
452.5,-100,0
455,-100,0
457.5,-100,0
460,-100,0
462.5,-100,0
465,-100,0
467.5,-100,0
470,-100,0
472.5,-100,0
475,-100,0
477.5,-100,0
480,-100,0
482.5,-100,0
485,-100,0
487.5,-100,0
490,-100,0
492.5,-100,0
495,-100,0
497.5,-100,0
500,-100,0
502.5,-100,0
505,-100,0
507.5,-100,0
