Distancia,RSS,Throughput
15,-53.4291,49.0701
17.5,-54.8687,49.9876
20,-56.1142,50.0204
22.5,-57.2039,49.9876
25,-58.1698,50.004
27.5,-59.0402,50.0204
30,-59.8314,49.9876
32.5,-60.5558,50.004
35,-61.2251,49.9876
37.5,-61.8457,50.004
40,-62.4248,49.9876
42.5,-62.9679,49.9876
45,-63.4794,49.9876
47.5,-63.963,50.0531
50,-64.421,49.9712
52.5,-64.8556,50.004
55,-65.2687,50.004
57.5,-65.6637,49.9876
60,-66.0417,50.004
62.5,-66.4035,50.004
65,-66.7511,50.0204
67.5,-67.085,49.9876
70,-67.4073,50.0204
72.5,-67.7178,49.9712
75,-68.0169,50.0204
77.5,-68.3069,49.9876
80,-68.5872,50.004
82.5,-68.8583,50.004
85,-69.1219,50.004
87.5,-69.3774,49.9712
90,-69.6252,50.004
92.5,-69.8669,49.9876
95,-70.1019,49.9876
97.5,-70.3307,50.0531
100,-70.5531,49.9712
102.5,-70.7699,50.004
105,-70.9821,49.9876
107.5,-71.1892,50.0204
110,-71.3914,50.004
112.5,-71.5887,49.9876
115,-71.7817,50.004
117.5,-71.9703,50.0204
120,-72.155,49.9876
122.5,-72.3361,49.9548
125,-72.5135,50.0204
127.5,-72.6871,50.004
130,-72.8574,50.004
132.5,-73.0245,50.0204
135,-73.1881,49.8074
137.5,-73.3488,50.0367
140,-73.5066,49.9712
142.5,-73.6618,50.004
145,-73.8146,49.9548
147.5,-73.9646,50.0531
150,-74.1116,50.004
152.5,-74.2561,49.922
155,-74.3986,50.004
157.5,-74.5388,50.0367
160,-74.6766,49.9712
162.5,-74.8106,48.8079
165,-74.9451,45.9571
167.5,-75.0772,45.9735
170,-75.2066,45.8916
172.5,-75.3343,45.7933
175,-75.4604,45.695
177.5,-75.5848,45.695
180,-75.707,45.826
182.5,-75.8273,45.8424
185,-75.9461,45.0888
187.5,-76.0614,44.0074
190,-76.1797,34.4556
192.5,-76.2945,34.4883
195,-76.407,34.4392
197.5,-76.5183,34.4392
200,-76.6281,34.4883
202.5,-76.7366,34.4064
205,-76.8443,34.4883
207.5,-76.9501,34.39
210,-77.0549,34.39
212.5,-77.1583,34.4719
215,-77.2603,34.4883
217.5,-77.3611,34.4064
220,-77.4609,34.4228
222.5,-77.56,34.5211
225,-77.6576,34.3572
227.5,-77.7541,34.4883
230,-77.8494,34.4228
232.5,-77.9437,34.4883
235,-78.0369,34.3572
237.5,-78.1296,34.3736
240,-78.2214,34.4719
242.5,-78.3119,34.39
245,-78.4015,34.4228
247.5,-78.4901,34.39
250,-78.5778,34.4228
252.5,-78.6646,34.3736
255,-78.7504,34.3409
257.5,-78.8356,34.39
260,-78.92,34.4719
262.5,-79.0032,34.4719
265,-79.0863,34.4556
267.5,-79.1682,34.4719
270,-79.2492,34.4064
272.5,-79.33,34.4392
275,-79.4097,34.3245
277.5,-79.4883,34.4392
280,-79.5666,34.39
282.5,-79.6441,34.39
285,-79.7209,34.4064
287.5,-79.7972,34.5866
290,-79.8729,34.5375
292.5,-79.9479,34.3081
295,-80.0223,34.3409
297.5,-80.0958,34.3245
300,-80.169,34.3736
302.5,-80.2412,34.1934
305,-80.3129,34.2098
307.5,-80.3839,34.2589
310,-80.4544,34.1279
312.5,-80.5226,24.7726
315,-80.5942,23.0195
317.5,-80.6632,22.8884
320,-80.7315,23.0195
322.5,-80.7992,23.0031
325,-80.8668,22.954
327.5,-80.9335,22.954
330,-80.9998,22.9376
332.5,-81.0657,22.9048
335,-81.1309,22.9868
337.5,-81.196,22.9704
340,-81.2604,22.9704
342.5,-81.3242,22.9048
345,-81.3876,22.9212
347.5,-81.4505,23.0195
350,-81.5129,22.9376
352.5,-81.5748,23.0031
355,-81.6366,23.0031
357.5,-81.6976,22.9868
360,-81.7583,23.0195
362.5,-81.8188,22.954
365,-81.8786,22.954
367.5,-81.9381,22.9212
370,-81.9841,12.4846
372.5,-100,0
375,-100,0
377.5,-100,0
380,-100,0
382.5,-100,0
385,-100,0
387.5,-100,0
390,-100,0
392.5,-100,0
395,-100,0
397.5,-100,0
400,-100,0
402.5,-100,0
405,-100,0
407.5,-100,0
410,-100,0
412.5,-100,0
415,-100,0
417.5,-100,0
420,-100,0
422.5,-100,0
425,-100,0
427.5,-100,0
430,-100,0
432.5,-100,0
435,-100,0
437.5,-100,0
440,-100,0
442.5,-100,0
445,-100,0
447.5,-100,0
450,-100,0
452.5,-100,0
455,-100,0
457.5,-100,0
460,-100,0
462.5,-100,0
465,-100,0
467.5,-100,0
470,-100,0
472.5,-100,0
475,-100,0
477.5,-100,0
480,-100,0
482.5,-100,0
485,-100,0
487.5,-100,0
490,-100,0
492.5,-100,0
495,-100,0
497.5,-100,0
500,-100,0
502.5,-100,0
505,-100,0
507.5,-100,0
